keys,pt_BR,en
Novo jogo,Novo jogo,New game
Continuar,Continuar,Continue
Opções,Opções,Options
Sair,Sair,Quit
Um RPG de fantasia e vapor,Um RPG de fantasia e vapor,A tale of magic and steam
Itens,Itens,Items
Equipar,Equipar,Equip
Gemas,Gemas,Gems
Árvore,Árvore,Skill tree
Status,Status,Status
Formação,Formação,Formation
Missões,Missões,Quests
Salvar,Salvar,Save
Fechar,Fechar,Close
Atacar,Atacar,Attack
Técnicas,Técnicas,Techniques
Defender,Defender,Defend
Trocar,Trocar,Swap
Fugir,Fugir,Flee
Comprar,Comprar,Buy
Vender,Vender,Sell
Quem?,Quem?,Who?
Volume da música,Volume da música,Music volume
Velocidade do texto,Velocidade do texto,Text speed
Timing em batalha,Timing em batalha,Battle timing
Tela cheia,Tela cheia,Fullscreen
Idioma,Idioma,Language
Sim,Sim,Yes
Não,Não,No
